# LO 21.1
What terms are associated with Human Trafficking?	slave labor, involuntary servitude, exploitation
What challenges are faced with Human Trafficking investigations?	prevention of escape, failure to report, failure to testify
What does the acronym ILO stand for?	International Labour Organization
What contributes to risk of Human Trafficking?	economic instability, political instability
How accurate are Human Trafficking statistics?	They are often wildly inaccurate
How profitable did the United Nations Office on Drugs and Crime state Human Trafficking was, as cited by BPOC?	$32 billion per year, surpassing illicit trading of firearms

# LO 21.2
What is the definition of TRAFFICKING according to the Palermo Protocol?	The recruitment, transportation, transfer, harboring or receipt of persons, by means of the threat or use of force or other forms of coercion, of abduction, of fraud, of deception, of the abuse of power or of a position of vulnerability or of the giving or receiving of payments or benefits to achieve the consent of a person having control over another person, for the purpose of exploitation. Exploitation shall include, at a minimum, the exploitation of the prostitution of others or other forms of sexual exploitation, forced labour or services, slavery or practices similar to slavery, servitude or the removal of organs.
What are the two primary categories of Human Trafficking as stated by the Victims of Trafficking and Violence Protection Act?	Sex trafficking, labor trafficking
What are the three vital components of Human Trafficking?	Force, Fraud, Coercion
What term is defined by the use of a weapon; the use of such physical strength or violence as is sufficient to overcome, restrain, or injure a person; or inflicting physical harm sufficient to coerce or compel submission by the victim?	FORCE
What is the definition of the term FRAUD as stated in BPOC?	A deceitful practice or willful device, resorted to with intent to deprive another of his right, or in some manner to do him an injury.
What are some behaviors that indicate COERCION?	threats of serious harm to or physical restraint against any person; Any scheme, plan, or pattern intended to cause a person to believe that failure to perform an act would result in serious harm to or physical restraint against any person; the abuse or threatened abuse of the legal process.
True or False: Human Trafficking can only be committed against adults.	False. Trafficking involves children and adults of all ages.
What is everpresent in recruitment methods of traffickers?	Lying (about opportunities, legitimate employment, money, etc.)
True or False: Human Trafficking is only a problem in third-world countries.	False. While many victims can come from economically disadvantaged countries, richer countries are the primary "destination countries" making human trafficking a global problem.
Name some more vulnerable communities to Human Trafficking.	Runaways, LGBTQ+, African American, Latino, children in foster care
What organization is abbreviated by the acronym OJJDP?	The Office of Juvenile Justice and Delinquency Prevention
What activities are defined by the phrase Commercial Sexual Exploitation of Children (CSEC)?	the sexual abuse or exploitation of a child for the financial benefit of any person or in exchange for anything of value (including monetary and non-monetary benefits) given or received by any person.
What are some examples of Commercial Sexual Exploitation of Children (CSEC)?	child sex trafficking, the prostitution of children, child sex tourism involving commercial sexual activity, commercial production of child pornography, and online transmission of live video of a child engaged in sexual activity
How is CHILD SEX TRAFFICKING defined in BPOC?	Child sex trafficking occurs when a person KNOWINGLY: Traffics a child under the age of 18 and causes by any means the child to engage in or become the victim of commercial sex acts or child sex abuse; Receives a benefit from participating in a venture that involves child sex trafficking; or Engages in sexual conduct with a trafficked child.
